00580759.pdf;Mobility requirements for the use of carpooling among different user groups
05482225.pdf;Acceptance of Pervasive Healthcare Systems: A Comparison of Different Implementation Concepts
05482288.pdf;Technology acceptability for medical assistance
05704072.pdf;From Cloud Computing to Mobile Internet, From User Focus to Culture and Hedonism: The Crucible of Mobile Health Care and Wellness Applications
06623895.pdf;Publication Network Visualization as an Approach for Interdisciplinary Innovation Management
06623931.pdf;User-centered design of passenger information systems.
06641684.pdf;Supporting Technology Transfer via Web-based Platform
07420656.pdf;Evaluation of Different Feedback Conditions on Worker’s Performance in an Augmented Reality-based Support System for Carbon Fiber Reinforced Plastic Manufacturing 
08350650.pdf;Facebook as a Source for Human-Centered Engineering: Web Mining-Based Reconstruction of Stakeholder Perspectives on Energy Systems 
08993408_2e2013_2e778040.pdf;From boring to scoring – a collaborative serious game for learning and practicing mathematical logic for computer science education
1-s2.0-s0957417412012511-main-2.pdf;Extending the engineering trade-off analysis by integrating user preferences in conjoint analysis
10_ziefle_dig_medien_223-250.pdf;Lesen an digitalen Medien
1v0_longitudinalpaper_20140518ah.pdf;Towards Interactive Visualization of Longitudinal Data to support Knowledge Discovery on Multi-Touch Tablet Computers
a1-heidrich.pdf;Interacting with Smart Walls: A Multi-Dimensional Analysis of Input Technologies for Augmented Environments 
aal_2010b.pdf;Technikakzeptanz als integraler Bestandteil der Entwicklung medizintechnischer Produkte
aal_klack.pdf;Ein persönliches Assistenzsystem für ältere Nutzer mit chronischen Herzerkrankungen
altschl__gt_jung.pdf;Alt schlägt Jung: Bewegungsförderung für Ältere durch Serious Games
ami_2009_with_reference.pdf;eHealth – Enhancing Mobility with Aging
ami_2011_aesthetic_intelligence.pdf;Aesthetic Intelligence: Designing Smart and Beautiful Architectural Spaces 
ami_2011_interactive_architecture.pdf;Interactive Architecture in Domestic Spaces
ami_2011_workshop_discussion_paper.pdf;Aesthetic Intelligence - Concepts, Technologies and Applications 
ami_2012_roecker.pdf;Aesthetic Intelligence: The Role of Design in Ambient Intelligence 
ami_2013_kasugai.pdf;Computer-Mediated Human-Architecture Interaction
ami_2013_roecker.pdf;When Design Meets Intelligence: Incorporating Aesthetic Intelligence in Smart Spaces 
andre_mental_models_icchp10.pdf;Mental Models of Menu Structures in Diabetes Assistants
arning_ziefle_iea_manuscript.pdf;"""It’s a bunch of shapes connected by lines"": Evaluating the Graphical Notation System of Business Process Modeling Languages"
arning_ziefle_jakobs_coma_2013_manuscript_-_edited.pdf;Usability and Learnability of Graphical Notation Systems in Process Modeling Languages
arning__ziefle__2009.pdf;Different Perspectives on Technology Acceptance: The Role of Technology Type and Age
ask_and_you_will_receive_1.pdf;ask and You will receive: training novice adults to use a Pda in an active learning environment
a_game-based_approach_to_understand_human_factors_in_supply_chains_and_quality_management.pdf;A Game-based Approach to Understand Human Factors in Supply Chains and Quality Management 
barbara_etal_kreta.pdf;The Willingness to Adopt Technologies: A Cross-Sectional Study on the Influence of Technical Self-efficacy on Acceptance
befm-journal_roecker.pdf;Chances and Challenges of Intelligent Technologies in the Production and Retail Sector
beul_06038877.pdf;Users’ Preferences for Telemedical Consultations: Comparing users’ attitude towards different media in technology-mediated doctor-patientcommunication
beul_et_al._ahfe.pdf;The Impact of Usability in Emergency Telemedical Services
brauner.pdf;Exergames for Elderly in Ambient Assisted Living Environments: Determinants for performance and technology acceptance 
calerovaldez_et_al_-_screen_size.pdf;Task Performance in Mobile and Ambient Interfaces. Does Size Matter for Usability of Electronic Diabetes Assistants? 
calero_valdez_et_al._2009_small_screens_for_diabetes_patients.pdf;Effects of Aging and Domain Knowledge on Usability in Small Screen Devices for Diabetes Patients
calero_valdez_et_al__2014__-_scientific_cooperation_engineering.pdf;Scientific Cooperation Engineering: Making Interdisciplinary Knowledge Available within Research - Facilities and to External Stakeholders 
ceciis_2013_roecker.pdf;User-Centered Design of Intelligent Environments: Requirements for Designing Successful Ambient Assisted Living Systems
cisme_2012_roecker.pdf;Informal Communication and Awareness in Virtual Teams: Why We Need Smart Technologies to Support Distributed Teamwork 
coma_10_ziefle_jakobs_2.pdf;New Challenges in Human Computer Interaction: Strategic Directions and Interdisciplinary Trends
create10_final.pdf;Creating Spatio-Temporal Contiguities Between Real and Virtual Rooms in an Assistive Living Environment
ebmm_roecker_with_reference.pdf;Toward Smart Office Environments – Benefits and Drawbacks of Using Ambient Intelligence Technologies in Knowledge-Based Enterprises 
effects_of_icon_concreteness.pdf;Effects of Icon Concreteness and Complexity on Semantic Transparency: Younger vs. Older Users
ehealth_2010_beul_et_al.pdf;Between Innovation and Daily Practice in the Development of AAL Systems: Learning from the Experience with Today’s Systems 
ejhi_editorial_2011_roecker___maeder.pdf;User-Centered Design of Smart Healthcare Applications
enhancing_interdisciplinary_cooperation_by_social_platforms.pdf;Assessing the Usefulness of Bibliometric Social Network Visualization in Large-Scale Research Clusters
expertise_paper_usab.pdf;Technical Expertise and Its Influence on the Acceptance of Future Medical Technologies: What Is Influencing What to Which Extent?
final_publication_network_analysis.pdf;Using Mixed Node Publication Network Graphs for Analyzing Success in Interdisciplinary Teams
fitmse_2012_roecker_author_copy.pdf;Current Approaches to Ambient Assisted Living
gaul_ziefle_smarthometechnologies.pdf;Smart Home Technologies: Insights into Generation-Specific Acceptance Motives
gender_differences_ziefle_schaar_2011_1.pdf;Gender Differences in Acceptance and Attitudes towards an Invasive Medical Stent
hcii_2009_roecker_with_reference.pdf;Perceived Usefulness and Perceived Ease-of-Use of Ambient Intelligence Applications in Office Environments
himmel_et_al-older-users-wishlist.pdf;Older Users’ Wish List for Technology Attributes: A Comparison of Household and Medical Technologies
himmel_et_al_-_from_living_space_to_urban_quarter.pdf;From Living Space to Urban Quarter: Acceptance of ICT Monitoring Solutions in an Ageing Societ
holzinger_et_al__2011__paper_vs_screen_in_real_life_workflow_performance_ijhcs.pdf;Investigating paper vs. screen in real-life hospital work?ows: Performance contradicts perceived superiority of paper in the user experience
i-society_2010_beul_et_al.pdf;What Happens After Calling the Ambulance: Information, Communication, and Acceptance Issues in a Telemedical Workflow
icchp_2010_holzinger_et_al.pdf;Human-Computer Interaction and Usability Engineering for Elderly (HCI4AGING): Introduction to the Special Thematic Session
iccit_2010_roecker_with_reference.pdf;Services and Applications for Smart Office Environments - A Survey of State-of-the-Art Usage Scenarios
iccsa_roecker_final.pdf;Information Privacy in Smart Office Environments: A Cross-Cultural Study Analyzing the Willingness of Users to Share Context Information
icict_roecker_with_reference.pdf;Requirements and Guidelines for the Design of Team Awareness Systems
